% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
4956	0	2	2	497	1	497	1	77	6	1	37	0	255	10	8	0	16	255	0
4956	0	3	3	497	1	497	1	21	6	1	30	0	255	10	12	0	16	255	0
4956	0	5	5	497	1	497	1	160	6	1	20	0	255	10	23	0	16	255	0
4960	0	1	1	497	5	497	1	53	6	1	34	0	255	10	40	0	16	255	0
4960	0	4	4	497	5	497	1	158	6	1	47	0	255	10	11	0	16	255	0
4961	0	1	1	497	6	497	1	53	6	1	6	0	255	10	40	0	16	255	0
4961	0	2	2	497	6	497	1	77	6	1	9	0	255	10	8	0	16	255	0
4961	0	3	3	497	6	497	1	21	6	1	2	0	255	10	12	0	16	255	0
4962	0	4	4	497	7	497	1	158	6	1	19	0	255	10	11	0	16	255	0
4963	0	5	5	497	8	497	1	160	6	1	48	0	255	10	23	0	16	255	0
4999	0	1	1	501	4	501	1	52	6	1	34	0	255	10	33	0	16	255	0
5000	0	1	1	501	5	501	1	52	6	1	6	0	255	10	33	0	16	255	0
5000	0	2	2	501	5	501	1	132	6	1	16	0	255	10	12	0	16	255	0
5003	0	2	2	501	8	501	1	132	6	1	44	0	255	10	12	0	16	255	0
5036	0	1	1	505	1	505	1	7	6	1	28	0	255	10	27	0	16	255	0
5038	0	3	3	505	3	505	1	18	6	1	2	0	255	10	29	0	16	255	0
5039	0	2	2	505	4	505	1	150	6	1	46	0	255	10	30	0	16	255	0
5041	0	3	3	505	6	505	1	18	6	1	30	0	255	10	29	0	16	255	0
5042	0	2	2	505	7	505	1	150	6	1	18	0	255	10	30	0	16	255	0
5043	0	1	1	505	8	505	1	7	6	1	0	0	255	10	27	0	16	255	0
5078	0	2	2	509	3	509	1	30	6	1	31	0	255	10	35	0	16	255	0
5079	0	3	3	509	4	509	1	131	6	1	16	0	255	10	27	0	16	255	0
5081	0	1	1	509	6	509	1	159	6	1	47	0	255	10	10	0	16	255	0
5082	0	2	2	509	7	509	1	30	6	1	3	0	255	10	35	0	16	255	0
5082	0	3	3	509	7	509	1	131	6	1	44	0	255	10	27	0	16	255	0
5083	0	1	1	509	8	509	1	159	6	1	19	0	255	10	10	0	16	255	0
5117	0	2	2	513	2	513	1	97	6	1	12	0	255	10	35	0	16	255	0
5118	0	1	1	513	3	513	1	26	6	1	3	0	255	10	3	0	16	255	0
5122	0	1	1	513	7	513	1	26	6	1	31	0	255	10	3	0	16	255	0
