% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
3696	0	5	3	0	16	389	1	0	0	1.51922
3704	0	4	1	0	16	389	2	0	0	0.136225
3704	0	4	2	0	16	389	2	0	0	0.3459
3704	0	4	3	0	16	389	2	0	0	4.49454
3704	0	5	1	0	16	389	2	0	0	0.101587
3704	0	5	2	0	16	389	2	0	0	0.287412
3704	0	5	3	0	16	389	2	0	0	1.51922
3712	0	4	1	0	16	389	3	0	0	0.136225
3712	0	4	2	0	16	389	3	0	0	0.3459
3712	0	4	3	0	16	389	3	0	0	4.49454
3712	0	5	1	0	16	389	3	0	0	0.101587
3712	0	5	2	0	16	389	3	0	0	0.287412
3712	0	5	3	0	16	389	3	0	0	1.51922
3728	0	3	1	0	16	389	0	1	0	1.71295
3728	0	3	2	0	16	389	0	1	1	5.52155
3728	0	4	1	0	16	389	0	1	0	0.364577
3728	0	4	2	0	16	389	0	1	0	0.531411
3728	0	5	1	0	16	389	0	1	0	0.16486
3728	0	5	2	0	16	389	0	1	0	0.364577
3736	0	3	1	0	16	389	1	0	0	1.71295
3736	0	3	2	0	16	389	1	0	1	5.52155
3736	0	4	1	0	16	389	1	0	0	0.364577
3736	0	4	2	0	16	389	1	0	0	0.531411
3736	0	5	1	0	16	389	1	0	0	0.16486
3736	0	5	2	0	16	389	1	0	0	0.364577
3744	0	3	1	0	16	389	2	0	1	1.71295
3744	0	3	2	0	16	389	2	0	1	5.52155
3744	0	4	1	0	16	389	2	0	0	0.364577
3744	0	4	2	0	16	389	2	0	0	0.531411
3744	0	5	1	0	16	389	2	0	0	0.16486
3744	0	5	2	0	16	389	2	0	0	0.364577
3752	0	3	1	0	16	389	3	0	1	1.71295
3752	0	3	2	0	16	389	3	0	1	5.52155
3752	0	4	1	0	16	389	3	0	0	0.364577
3752	0	4	2	0	16	389	3	0	0	0.531411
3752	0	5	1	0	16	389	3	0	0	0.16486
3752	0	5	2	0	16	389	3	0	0	0.364577
3768	0	3	1	0	16	389	0	1	0	1.12428
3768	0	3	2	0	16	389	0	1	0	4.4022
3768	0	4	1	0	16	389	0	1	0	0.332746
3768	0	4	2	0	16	389	0	1	0	0.497734
3768	0	5	1	0	16	389	0	1	0	0.154412
3768	0	5	2	0	16	389	0	1	0	0.35335
3776	0	3	1	0	16	389	1	0	0	1.12428
3776	0	3	2	0	16	389	1	0	0	4.4022
3776	0	4	1	0	16	389	1	0	0	0.332746
3776	0	4	2	0	16	389	1	0	0	0.497734
3776	0	5	1	0	16	389	1	0	0	0.154412
3776	0	5	2	0	16	389	1	0	0	0.35335
3784	0	3	1	0	16	389	2	0	0	1.12428
3784	0	3	2	0	16	389	2	0	0	4.4022
3784	0	4	1	0	16	389	2	0	0	0.332746
3784	0	4	2	0	16	389	2	0	0	0.497734
3784	0	5	1	0	16	389	2	0	0	0.154412
3784	0	5	2	0	16	389	2	0	0	0.35335
3792	0	3	1	0	16	389	3	0	0	1.12428
3792	0	3	2	0	16	389	3	0	0	4.4022
3792	0	4	1	0	16	389	3	0	0	0.332746
3792	0	4	2	0	16	389	3	0	0	0.497734
3792	0	5	1	0	16	389	3	0	0	0.154412
3792	0	5	2	0	16	389	3	0	0	0.35335
3808	0	3	1	0	16	389	0	1	0	1.71295
3808	0	3	2	0	16	389	0	1	0	5.52155
3808	0	4	1	0	16	389	0	1	0	0.364577
3808	0	4	2	0	16	389	0	1	0	0.531411
3808	0	5	1	0	16	389	0	1	0	0.16486
3808	0	5	2	0	16	389	0	1	0	0.364577
3816	0	3	1	0	16	389	1	0	0	1.71295
3816	0	3	2	0	16	389	1	0	1	5.52155
3816	0	4	1	0	16	389	1	0	0	0.364577
3816	0	4	2	0	16	389	1	0	0	0.531411
3816	0	5	1	0	16	389	1	0	0	0.16486
3816	0	5	2	0	16	389	1	0	0	0.364577
3824	0	3	1	0	16	389	2	0	1	1.71295
3824	0	3	2	0	16	389	2	0	1	5.52155
3824	0	4	1	0	16	389	2	0	0	0.364577
3824	0	4	2	0	16	389	2	0	0	0.531411
3824	0	5	1	0	16	389	2	0	0	0.16486
3824	0	5	2	0	16	389	2	0	0	0.364577
3832	0	3	1	0	16	389	3	0	1	1.71295
3832	0	3	2	0	16	389	3	0	1	5.52155
3832	0	4	1	0	16	389	3	0	0	0.364577
3832	0	4	2	0	16	389	3	0	0	0.531411
3832	0	5	1	0	16	389	3	0	0	0.16486
3832	0	5	2	0	16	389	3	0	0	0.364577
3848	0	4	1	0	16	389	0	1	0	0.364577
3848	0	4	2	0	16	389	0	1	0	0.421836
3848	0	4	3	0	16	389	0	1	0	5.23231
3848	0	5	1	0	16	389	0	1	0	0.16486
3848	0	5	2	0	16	389	0	1	0	0.320232
